287,330902,KOLLIHILLS
288,330903,MOHANUR
289,330904,ERUMAPATTI
290,330905,SENDAMANGALAM
291,330906,PUDUCHADRAM
292,330907,RASIPURAM
293,330908,VENNANDUR
294,330909,NAMAGIRIPETTAI
295,330910,TRIUCHENGODU
296,330911,PALLIPALAYAM
297,330912,MALLASAMUDRAM
298,330913,ELACHIPALAYAM
299,330914,PARAMATHY
300,330915,KABILARMALAI
301,333001,THOVALAI
302,333002,AGASTHEESWARAM
303,333003,RAJAKKAMANGALAM
304,333004,KURUNTHANCODE
305,333005,THUCKALAY
306,333006,THIRUVATTAR
307,333007,MELPURAM
308,333008,KILLIYOOR
309,333009,MUNCHIRAI
310,333109,UTHANGARAI
311,333110,KRISHNAGIRI
312,333111,KAVERIPATINAM
313,333112,BARGUR
314,333113,VEPPANAPALLI
315,333114,SHOOLAGIRI
316,333115,HOSUR
317,333116,KELAMANGALAM
318,333117,THALLY
319,333118,MATHUR
320,331901,NAGAPATTINAM
321,331902,THIRUMARUGAL
322,331903,KELVELUR
323,331904,KEEZHAIYUR
324,331905,THALAINAYAR
325,331906,VEDARANYAM
326,331907,MAYILADUDURAI
327,331908,SEMBANARKOIL
328,331909,KUTHALAM
329,331910,SIRKALI
330,331911,KOLLIDAM
331,332201,KUNNANDARKOIL
332,332202,ANNAVASAL
333,332203,VIRALIMALAI
334,332204,GANDARVAKKOTTAI
335,332205,PUDUKKOTTAI
336,332206,THIRUVARANKULAM
337,332207,KARAMBAKUDI
338,332208,THIRUMAYAM
339,332209,PONNAMARAVATHY
340,332210,ARIMALAM
341,332211,ARANTHANGI
342,332212,MANAMELKUDI
343,332213,AVUDAIYARKOIL
344,332401,ALANGANALLUR
345,332402,CHELLAMPATTI
346,332403,KALLIKUDI
347,332404,T.KALLUPATTI
348,332405,KOTTAMPATTI
349,332406,MADURAI EAST
350,332407,MADURAI WEST
351,332408,MELUR
352,332409,SEDAPATTI
353,332410,THIRUMANGALAM
354,332411,THIRUPARAMKUNDRAM
355,332412,USILAMPATTI
356,332413,T. VADIPATTI
357,332414,MADURAI NORTH
358,332415,MADURAI SOUTH
359,332101,THANJAVUR  (URBAN)
360,332102,THANJAVUR  (RURAL)
361,332103,THIRUVAIYARU
362,332104,BUDALUR
363,332105,ORATHANDU
364,332106,THIRUVONAM
365,332107,KUMBAKONAM
366,332108,PAPANASAM
367,332109,AMMAPETTAI1
368,332110,THIRUVIDAIMARUDHUR
369,332111,TIRUPANADAL
370,332112,PATTUKKOTTAI
371,332113,MADUKKUR
372,332114,PERAVURANI
373,332115,SETHUBAVACHATRAM
374,331201,COIMBATORE CITY
375,331202,MADUKKARAI
376,331203,P.N.PALAYAM
377,331204,PERUR
378,331205,S.S.KULAM
379,331206,THONDAMUTHUR
380,331207,ANAIMALAI
381,331208,GUDIMANGALAM
382,331209,KINATHUKKADAVU
383,331210,MADATHUKKULAM
384,331211,POLLACHI NORTH
385,331212,POLLACHI SOUTH
386,331213,UDUMALPET
387,331214,VALPARAI
388,331215,ANNUR
389,331216,AVINASHI
390,331217,KARAMADAI
391,331218,PALLADAM
392,331219,PONGALUR
393,331220,SULTANPET
394,331221,SULUR
395,331222,TIRUPUR
396,332501,AUNDIPATTY
397,332502,BODINAYAKANUR
398,332503,CHINNAMANUR
399,332504,CUMBUM
400,332505,MYLADUMPARAI
401,332506,PERIYAKULAM
402,332507,THENI
403,332508,UTHAMAPALAYAM
404,330201,GEORGE TOWN
405,330202,ROYAPURAM
406,330203,PERIAMEDU
407,330204,PERAMBUR
408,330205,PURASAIWALKKAM
409,330206,TRIPLICANE
410,330207,EGMORE
411,330208,T.NAGAR
412,330209,ADYAR
413,330210,MYLAPORE
